Urutan;Provinsi;Jumlah Penduduk;Persentase;Luas_Wilayah(km2);Kepadatan(jiwa/km2)
1;Jawa Barat;48037600;18.3;57956;828.8632756
2;Jawa Timur;39293000;15.0;72981.23;538.3987088
3;Jawa Tengah;34257900;13.1;42012.89;815.4140313
4;Sumatera Utara;14262100;5.4;87023.66;163.887614
5;Banten;12448200;4.8;8201.72;1517.754812
6;DKI Jakarta;10374200;4.0;16424.06;631.6464991
7;Sulawesi Selatan;8690300;3.3;50058.16;173.6040638
8;Lampung;8289600;3.2;91592.43;90.50529613
9;Sumatera Selatan;8267000;3.2;19919.33;415.0239993
10;Riau;6657900;2.5;34623.8;192.2925849
11;Sumatera Barat;5321500;2.0;664.01;8014.186533
12;Nusa Tenggara Timur;5287300;2.0;35377.76;149.4526505
13;Aceh;5189500;2.0;9662.92;537.0529819
14;Nusa Tenggara Barat;4955600;1.9;32800.69;151.0821876
15;Kalimantan Barat;4932500;1.9;3133.15;1574.294241
16;Bali;4246500;1.6;47799.75;88.83937677
17;Kalimantan Selatan;4119800;1.6;5780.06;712.7607672
18;DI Yogyakarta;3762200;1.4;18572.32;202.5702766
19;Kalimantan Timur;3575400;1.4;48718.1;73.38956158
20;Jambi;3515000;1.3;147307;23.86173094
21;Papua;3265200;1.2;153564.5;21.26272674
22;Sulawesi Tengah;2966300;1.1;38744.23;76.56107761
23;Kalimantan Tengah;2605300;1.0;129066.64;20.18569632
24;Sulawesi Tenggara;2602400;1.0;75467.7;34.48362677
25;Sulawesi Utara;2461000;0.9;13851.64;177.6684927
26;Kepulauan Riau;2082700;0.8;11257.07;185.0126187
27;Bengkulu;1934300;0.7;61841.29;31.2784549
28;Maluku;1744700;0.7;38067.7;45.83150545
29;Kepulauan Bangka Belitung;1430900;0.5;46717.48;30.62879248
30;Sulawesi Barat;1331000;0.5;16787.18;79.28669377
31;Maluku Utara;1209300;0.5;46914.03;25.77693709
32;Gorontalo;1168200;0.4;31982.5;36.52622528
33;Papua Barat;915400;0.3;319036.05;2.869268222
34;Kalimantan Utara;691100;0.3;99671.63;6.933768415
