No;Nama_Provinsi;Ibukota;Tanggal_Berdiri;Luas_Wilayah(km2)
1;Aceh;Banda Aceh;07/12/1956;57956.00
2;Sumatera Utara;Medan;07/12/1956;72981.23
3;Sumatera  Barat;Padang;31/07/1958;42012.89
4;Riau;Pekanbaru;09/08/1957;87023.66
5;Kep Riau;Tanjungpinang;25/09/1957;8201.72
6;Kep Bangka Belitung;Pangkal Pinang;21/12/2000;16424.06
7;Jambi;Jambi;31/07/1958;50058.16
8;Sumatera Selatan;Palembang;15/09/1950;91592.43
9;Bengkulu;Bengkulu;12/09/1967;19919.33
10;Lampung;Bandar Lampung;18/03/1964;34623.80
11;DKI Jakarta;Jakarta;10/02/1965;664.01
12;Jawa Barat;Bandung;04/07/1950;35377.76
13;Banten;Serang;17/10/2000;9662.92
14;Jawa Tengah;Semarang;04/07/1950;32800.69
15;DI Yogyakarta;Yogyakarta;04/03/1950;3133.15
16;Jawa Timur;Surabaya;04/03/1950;47799.75
17;Bali;Denpasar;14/08/1958;5780.06
18;Nusa Tenggara Barat;Mataram;14/08/1958;18572.32
19;Nusa Tenggara Timur;Kupang;14/12/1958;48718.10
20;Kalimantan Barat;Pontianak;01/01/1957;147307.00
21;Kalimantan Tengah;Palangkaraya;23/05/1957;153564.50
22;Kalimantan Selatan;Banjarmasin;14/08/1950;38744.23
23;Kalimantan Timur;Samarinda;01/01/1950;129066.64
24;Kalimantan Utara;Tanjung Selor;25/10/2012;75467.70
25;Sulawesi Utara;Manado;23/09/1964;13851.64
26;Gorontalo;Gorontalo;05/12/2000;11257.07
27;Sulawesi Tengah;Palu;13/04/1964;61841.29
28;Sulawesi Tenggara;Kendari;22/09/1964;38067.70
29;Sulawesi Selatan;Makassar;13/12/1960;46717.48
30;Sulawesi Barat;Mamuju;05/10/1960;16787.18
31;Maluku;Ambon;01/07/1958;46914.03
32;Maluku Utara;Ternate;04/10/1999;31982.50
33;Papua;Jayapura;01/05/1963;319036.05
34;Papua Barat;Manokwari;04/10/1999;99671.63
